id1,name1,id2,name2,match,ranking,surface,previous,winner
sr:competitor:16087,Dutra Silva Rogerio,sr:competitor:119248,Ruud Casper,sr:match:17317571,0.635,0.508,0.5,0
sr:competitor:122366,Tsitsipas Stefanos,sr:competitor:16683,Kukushkin Mikhail,sr:match:17462369,0.46,0.444,0.0,0
sr:competitor:122366,Tsitsipas Stefanos,sr:competitor:25838,Goffin David,sr:match:17458749,0.484,0.495,0.5,0
sr:competitor:16683,Kukushkin Mikhail,sr:competitor:185388,Humbert Ugo,sr:match:17458135,0.485,0.543,0.5,0
sr:competitor:25838,Goffin David,sr:competitor:14736,Simon Gilles,sr:match:17452885,0.495,0.503,0.5,0
sr:competitor:122366,Tsitsipas Stefanos,sr:competitor:14903,Stakhovsky Sergiy,sr:match:17453051,0.395,0.452,1.0,0
sr:competitor:15231,Bachinger Matthias,sr:competitor:185388,Humbert Ugo,sr:match:17451169,0.568,0.508,0.5,1
sr:competitor:106755,Rublev Andrey,sr:competitor:16683,Kukushkin Mikhail,sr:match:17450683,0.532,0.456,0.75,1
sr:competitor:14903,Stakhovsky Sergiy,sr:competitor:67154,Barrere Gregoire,sr:match:17441647,0.495,0.554,0.5,0
sr:competitor:25838,Goffin David,sr:competitor:22218,Paire Benoit,sr:match:17429721,0.477,0.481,0.5,0
sr:competitor:185388,Humbert Ugo,sr:competitor:64580,Coric Borna,sr:match:17442117,0.547,0.426,0.5,0
sr:competitor:14488,Verdasco Fernando,sr:competitor:15231,Bachinger Matthias,sr:match:17441717,0.408,0.547,0.5,1
sr:competitor:112783,Berrettini Matteo,sr:competitor:106755,Rublev Andrey,sr:match:17432767,0.454,0.513,0.0,1
sr:competitor:16194,Gojowczyk Peter,sr:competitor:14736,Simon Gilles,sr:match:17428977,0.554,0.488,0.0,1
sr:competitor:122366,Tsitsipas Stefanos,sr:competitor:158896,Hurkacz Hubert,sr:match:17418553,0.466,0.491,0.0,0
sr:competitor:16683,Kukushkin Mikhail,sr:competitor:117916,Shapovalov Denis,sr:match:17420425,0.525,0.554,0.5,0
sr:competitor:15725,Gulbis Ernests,sr:competitor:185388,Humbert Ugo,sr:match:17390201,0.512,0.538,0.5,1
sr:competitor:41857,Vesely Jiri,sr:competitor:67154,Barrere Gregoire,sr:match:17431619,0.482,0.652,0.5,1
sr:competitor:15231,Bachinger Matthias,sr:competitor:15098,Darcis Steve,sr:match:17419405,0.374,0.508,0.5,0
sr:competitor:15829,Chardy Jeremy,sr:competitor:112783,Berrettini Matteo,sr:match:17390195,0.509,0.546,0.5,1
sr:competitor:15090,Tsonga Jo-Wilfried,sr:competitor:106755,Rublev Andrey,sr:match:17390197,0.513,0.432,0.0,1
sr:competitor:14488,Verdasco Fernando,sr:competitor:49283,Gerasimov Egor,sr:match:17419403,0.38,0.548,0.5,0
sr:competitor:15310,Bolelli Simone,sr:competitor:22218,Paire Benoit,sr:match:17419401,0.646,0.532,1.0,1
sr:competitor:62790,Lestienne Constant,sr:competitor:14903,Stakhovsky Sergiy,sr:match:17419399,0.591,0.426,0.333,1
sr:competitor:16194,Gojowczyk Peter,sr:competitor:49172,Dzumhur Damir,sr:match:17390191,0.524,0.489,1.0,0
sr:competitor:36595,Kudla Denis,sr:competitor:16683,Kukushkin Mikhail,sr:match:17390199,0.533,0.45,1.0,1
sr:competitor:94747,Hoang Antoine,sr:competitor:14736,Simon Gilles,sr:match:17390193,0.614,0.481,0.5,1
sr:competitor:158896,Hurkacz Hubert,sr:competitor:22970,Krajinovic Filip,sr:match:17390187,0.472,0.496,0.5,0
sr:competitor:14903,Stakhovsky Sergiy,sr:competitor:62790,Lestienne Constant,sr:match:17395371,0.409,0.574,0.5,1
sr:competitor:67154,Barrere Gregoire,sr:competitor:49283,Gerasimov Egor,sr:match:17394861,0.459,0.473,0.5,1
sr:competitor:52462,Vatutin Alexey,sr:competitor:15231,Bachinger Matthias,sr:match:17393015,0.582,0.507,1.0,1
sr:competitor:107625,Janvier Maxime,sr:competitor:15310,Bolelli Simone,sr:match:17393013,0.507,0.489,0.5,1
sr:competitor:14903,Stakhovsky Sergiy,sr:competitor:18066,Basic Mirza,sr:match:17390183,0.419,0.506,0.5,0
sr:competitor:75237,Moraing Mats,sr:competitor:62790,Lestienne Constant,sr:match:17390185,0.518,0.521,0.333,1
sr:competitor:67154,Barrere Gregoire,sr:competitor:83397,Ofner Sebastian,sr:match:17390175,0.49,0.388,0.5,0
sr:competitor:49283,Gerasimov Egor,sr:competitor:16286,Rosol Lukas,sr:match:17390177,0.523,0.454,0.5,0
